"","respondent_id","enrollment","employment","employment_type","weekly_work_hrs","ethnicity","gender","total_income","academic_level","college/school","mode_transport","transport_reliability","living_alone","dependents","household_head","residence","permanent_address","spent_night_elsewhere","know_homelessness_studt","federal_aid","FI_q26","FI_q27","FI_q28","FI_q30","FI_q31","expenditures_changed","income_changed","fed_aid_changed","debt_changed"
"1",87869818,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",87872969,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",87873331,"Part Time","Full Time","Off-Campus","More than 19 hours","Hispanic","Female","40,000-49,999","Masters","Education","Car (alone)","Very reliable","No","Yes","Yes","Off-Campus with family","Yes",NA,"No","Scholarship","Never true","Sometimes true","No","No","No","Increased","About the same","Decreased","About the same"
"4",87873333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",87873335,"Part Time","Part Time","Off-Campus","More than 19 hours","Hispanic","Female","70,000-99,999","Senior","Health Sciences","Car (alone)","Very reliable","No","No","No","Off-Campus with family","Yes",NA,"Yes","Multiple Aids","Sometimes true","Often true","No","No","Yes","Increased","Decreased","Increased","Increased"
"6",87873336,"Part Time","No",NA,NA,"Hispanic","Female","40,000-49,999","Senior","More than one","Car (alone)","Fairly reliable","No","No","No","Off-Campus with family","Yes",NA,"No","Grants","Sometimes true","Often true","Yes","Yes","Yes","Increased","About the same","Decreased","Increased"
"7",87873337,"Full Time","Part Time","On-Campus","More than 19 hours","Hispanic","Female","70,000-99,999","Doctoral/Professional","Engineering","Bus/Public transport","Very reliable","No","No","No","Off-Campus with family","Yes",NA,"Yes","Work Study","Never true","Never true","No","No","No","Decreased","About the same","About the same","About the same"
"8",87873338,"Part Time","Full Time","Off-Campus","More than 19 hours","Hispanic","Female","10,000-19,999","Senior","Health Sciences","Car (alone)","Very reliable","No","No","Yes","Off-Campus not with family","Yes",NA,"No","Grants","Sometimes true","Sometimes true","Yes","Yes","Yes","Increased","Decreased","About the same","Decreased"
"9",87873342,"Full Time","No",NA,NA,"Black/African American","Female","20,000-29,999","Senior","Science","Car (alone)","Somewhat reliable","No","No","No","Off-Campus not with family","Yes",NA,"No","Loans","Sometimes true","Sometimes true","No","Yes","No","Decreased","Decreased","About the same","Increased"
"10",87873345,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",87873346,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",87873347,"Full Time","Part Time","On-Campus","19 hours or less","Hispanic","Female","30,000-39,000","Doctoral/Professional","Science","Car (someone drives) & Carpool","Very reliable","No","Yes","Yes","Off-Campus with family","Yes",NA,"No","Other","Sometimes true","Sometimes true","Yes","Yes","Yes","Increased","About the same","About the same","Increased"
"13",87873348,"Full Time","No",NA,NA,"Hispanic","Non-binary/Non-conforming",">=100,000","Junior","Science","Car (someone drives) & Carpool","Very reliable","No","No","No","Off-Campus with family","Yes",NA,"Yes","Loans","Never true","Never true","No","No","No","Increased","About the same","About the same","Increased"
"14",87873349,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",87873351,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",87873353,"Full Time","Full Time","Off-Campus","More than 19 hours","Hispanic","Female","20,000-29,999","Masters","Liberal Arts","Car (someone drives) & Carpool","Somewhat reliable","No","No","No","Off-Campus with family","No","Rarely","No","Loans","Often true","Sometimes true","Yes","Yes","Yes","Decreased","About the same","Increased","Increased"
"17",87873354,"Full Time","Full Time","Off-Campus","More than 19 hours","Hispanic","Male","70,000-99,999","Sophomore","Liberal Arts","Not applicable","Very reliable","Yes",NA,"Yes","Off-Campus not with family","Yes",NA,"No","Multiple Aids",NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",87873356,"Full Time","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",87873358,"Full Time","No",NA,NA,"White/Caucasian","Female","< 10,000","Senior","Education","Car (alone)","Very reliable","No","No","No","Off-Campus with family","Yes",NA,"No","Grants","Never true","Never true","No","No","No","About the same","About the same","About the same","About the same"
"20",87873359,"Part Time","Full Time","Off-Campus","More than 19 hours","Hispanic","Male","40,000-49,999","Masters","Engineering","Car (alone)","Fairly reliable","Yes",NA,"Yes","Off-Campus not with family","Yes",NA,"No","Loans","Never true","Never true","No","No","No","Increased","About the same","Decreased","Increased"
"21",87873360,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",87873361,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23",87873362,"Full Time","Full Time","Off-Campus","More than 19 hours","Hispanic","Female","10,000-19,999","Senior","Science","Car (alone)","Not reliable at all","No","Yes","Yes","Off-Campus with family","Yes",NA,"No","Grants","Often true","Often true","Yes","Yes","Yes","Increased","Increased","Decreased","Increased"
"24",87873363,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25",87873364,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26",87873365,"Full Time","Part Time","Off-Campus","19 hours or less","Hispanic","Male","< 10,000","Senior","Engineering","Car (alone)","Very reliable","No","No","No","Off-Campus with family","Yes",NA,"No","Multiple Aids","Never true","Never true","No","No","No","About the same","Decreased","About the same","About the same"
"27",87873366,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28",87873367,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29",87873368,"Full Time","Part Time","Off-Campus","19 hours or less","Hispanic","Female","70,000-99,999","Senior","Health Sciences","Car (alone)","Very reliable","No","No","No","Off-Campus with family","Yes",NA,"No","Work Study","Never true","Never true","No","No","No","About the same","Increased","About the same","About the same"
"30",87873370,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31",87873371,"Part Time","Part Time","Off-Campus","19 hours or less","Hispanic","Female","20,000-29,999","Senior","Science","Bus/Public transport","Very reliable","No","No","No","Off-Campus with family","Yes",NA,"No","Multiple Aids","Sometimes true","Sometimes true","Yes","Yes","No","Decreased","About the same","Decreased","Increased"
"32",87873372,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33",87873373,"Full Time","Part Time","On-Campus","More than 19 hours","Hispanic","Male",">=100,000","Doctoral/Professional","Liberal Arts","Car (alone)","Very reliable","No","No","No","Off-Campus with family","Yes",NA,"No","Multiple Aids","Never true","Never true","No","No","No","Decreased","About the same","About the same","About the same"
"34",87873374,"Full Time","Part Time","Off-Campus","19 hours or less","Hispanic","Male",">=100,000","Senior","Science","Car (alone)","Very reliable","No","No","No","Off-Campus with family","Yes",NA,"No","Other","Never true","Never true","No","No","No","Decreased","Decreased","About the same","Increased"
"35",87873376,"Full Time","No",NA,NA,"Hispanic","Female","20,000-29,999","Sophomore","Engineering","Car (alone)","Very reliable","No","No","Yes","Off-Campus with family","Yes",NA,"No","Grants","Never true","Never true","No","No","No","About the same","Decreased","Decreased","Increased"
"36",87873377,"Full Time","Part Time","Off-Campus","19 hours or less","Hispanic","Female","50,000-69,999","Senior","Nursing","Car (alone)","Very reliable","No","No","No","Off-Campus with family","Yes",NA,"No","Grants","Never true","Never true","No","No","No","Increased","Decreased","Increased","About the same"
"37",87873379,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38",87873380,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39",87873381,"Full Time","Part Time","Off-Campus","More than 19 hours","Hispanic","Female",">=100,000","Masters","Health Sciences","Car (alone)","Very reliable","No","No","No","Off-Campus with family","Yes",NA,"No","Multiple Aids","Never true","Never true","No","No","No","Decreased","About the same","Decreased","About the same"
"40",87873382,"Full Time","No",NA,NA,"Hispanic","Female","30,000-39,000","Senior","Liberal Arts","Car (alone)","Very reliable","No","No","No","Off-Campus with family","Yes",NA,"No","Work Study","Never true","Sometimes true","No","No","No","About the same","Decreased","About the same","Increased"
"41",87873383,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42",87873384,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43",87873385,"Full Time","Part Time","Off-Campus","More than 19 hours","Hispanic","Male","20,000-29,999","Senior","Science","Bus/Public transport","Very reliable","No","No","No","Off-Campus with family","Yes",NA,"No","Other","Never true","Never true","No","No","No","Decreased","Decreased","About the same","About the same"
"44",87873386,"Part Time","Part Time","Off-Campus","19 hours or less","Hispanic","Female","30,000-39,000","Junior","Liberal Arts","Car (someone drives) & Carpool","Fairly reliable","No","No","No","Off-Campus with family","Yes",NA,"No","Other","Never true","Never true","Yes","Yes","No","Decreased","Decreased","Decreased","Increased"
"45",87873387,"Full Time","Part Time","Off-Campus","More than 19 hours","Hispanic","Male",">=100,000","Senior","Engineering","Car (alone)","Very reliable","No","No","No","Off-Campus with family","Yes",NA,"Yes","Multiple Aids","Never true","Never true","No","Yes","No","Increased","Decreased","About the same","Increased"
"46",87873388,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47",87873389,"Full Time","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48",87873390,"Full Time","Full Time","Off-Campus","More than 19 hours","Hispanic","Female","30,000-39,000","Senior","Engineering","Bike, Trolley, or Walk","Fairly reliable","No","No","No","Off-Campus with family","Yes",NA,"No","Loans","Never true","Never true","No","No","No","About the same","About the same","About the same","About the same"
"49",87873391,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50",87873393,"Full Time","Part Time","Off-Campus","More than 19 hours",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51",87873395,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52",87873396,"Full Time","Part Time","On-Campus","19 hours or less","Hispanic","Female","40,000-49,999","Senior","Education","Car (alone)","Very reliable","No","No","No","Other","Yes",NA,"No","Other","Never true","Never true","No","No","No","About the same","About the same","About the same","About the same"
"53",87873397,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54",87873398,"Full Time","Part Time","Off-Campus","More than 19 hours","Hispanic","Male",">=100,000","Junior","Business","Bike, Trolley, or Walk","Very reliable","No","No","No","Off-Campus with family","Yes",NA,"No","Other","Never true","Never true","No","No","No","About the same","About the same","About the same","About the same"
"55",87873399,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56",87873400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57",87873402,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
